,R1_RDT_Total_Feed,R1_RDT_PAR_FEED,R1_RDT_T_ARO,R1_RDT_T_PAR,R2_RDT_T_ARO,R2_RDT_T_PAR,R2_RDT_Total_Feed,R2_RDT_PAR_FEED,R3_RDT_Total_Feed,R3_RDT_T_ARO,R3_RDT_PAR_FEED,R3_RDT_T_PAR,R4_RDT_T_ARO,R4_RDT_Total_Feed,R4_RDT_T_PAR,R4_RDT_PAR_FEED,R1_RIT_mean,R2_RIT_mean,R3_RIT_mean,R4_RIT_mean,R1_RIT_max,R2_RIT_max,R3_RIT_max,R4_RIT_max,Re_Gas_H2_purity,C_1_DISCH,Re_Gas_MOLAR_RATIO,Re_Gas_Flow,C_1_SUCTION,R1_New_Wait,R2_New_Wait,R3_New_Wait,R4_New_Wait,max_2nd.Burning.Zone,max_2nd.1dan,max_2nd.2dan,max_2nd.3dan,max_2nd.4dan,max_2nd.5dan,Catalyst Circulation Rate,Catalyst Circulation LIFT VELOCITY E,Catalyst_V3_front_coke Content,Catalyst_V3_back_coke Content,V-3 1ST BURN ZON E-1 INLET O2 CCT,V-3 1ST BURN ZON E-1 INLET GAS,V-3 1ST BURN ZON H-1 OUTLET,Burning Gas C-2 OUT TO V-3,ATMOSPHERE Burning Gas TEMP,H-4 INLET TEMPERATURE (R-4 RIT),H-3 OUT R-3 IN (R-3 RIT),H-2 OUT R-2 IN (R-2 RIT),H-1 OUT R-1 IN (R-1 RIT),R-4 OUT E-1 IN (R-4 ROT),R-3 OUT H-4 IN (R-3 ROT),R-2 OUT H-3 IN (R-2 ROT),R-1 OUT H-2 IN (R-1 ROT),Burning Gas concentration
R1_RIT_max,0.237,0.415,0.38,0.632,0.101,0.07,-0.056,-0.084,0.095,0.335,0.071,0.215,0.04,-0.186,-0.034,-0.117,0.947,0.425,0.693,0.617,1.0,0.354,0.692,0.471,0.583,0.095,0.375,0.027,0.493,0.737,0.741,0.732,0.719,-0.081,-0.387,-0.375,-0.411,-0.442,-0.081,-0.006,-0.135,-0.152,0.054,-0.436,-0.035,0.204,-0.052,-0.533,0.616,0.671,0.41,0.925,0.616,0.605,0.442,0.258,-0.148
R2_RIT_max,0.131,0.584,0.03,0.289,0.536,0.734,0.544,0.728,0.34,0.214,0.446,0.295,-0.025,0.06,0.078,0.178,0.294,0.96,0.653,0.465,0.354,1.0,0.684,0.21,0.251,0.462,0.023,0.031,0.252,0.653,0.653,0.648,0.632,-0.033,-0.261,-0.281,-0.347,-0.38,-0.033,0.175,-0.294,0.006,0.042,-0.364,0.434,-0.316,0.085,-0.388,0.439,0.657,0.942,0.29,0.527,0.669,0.609,0.304,0.267
R3_RIT_max,0.301,0.39,0.307,0.515,0.328,0.343,0.266,0.195,0.481,0.499,0.296,0.382,0.104,0.1,0.085,0.033,0.657,0.723,0.954,0.852,0.692,0.684,1.0,0.66,0.543,0.435,0.229,0.03,0.548,0.903,0.914,0.925,0.926,-0.022,-0.4,-0.403,-0.448,-0.491,-0.022,0.138,-0.286,-0.236,-0.025,-0.398,0.145,-0.044,0.032,-0.575,0.815,0.928,0.707,0.641,0.826,0.815,0.596,0.236,0.001
R4_RIT_max,0.319,0.128,0.434,0.44,0.212,0.023,0.072,-0.158,0.464,0.631,0.11,0.329,0.478,0.41,0.292,0.115,0.446,0.236,0.636,0.89,0.471,0.21,0.66,1.0,0.394,0.159,0.116,-0.104,0.392,0.61,0.631,0.664,0.71,-0.127,-0.325,-0.315,-0.33,-0.368,-0.127,0.082,-0.098,-0.498,-0.041,-0.286,-0.218,0.104,-0.072,-0.326,0.837,0.607,0.232,0.43,0.658,0.381,0.197,-0.058,-0.136
Re_Gas_H2_purity,-0.044,0.182,0.19,0.489,-0.077,-0.046,-0.28,-0.205,-0.074,0.283,0.046,0.239,0.237,-0.077,0.11,-0.016,0.617,0.372,0.614,0.588,0.583,0.251,0.543,0.394,1.0,-0.059,0.595,-0.077,0.865,0.621,0.623,0.626,0.633,-0.251,-0.685,-0.67,-0.682,-0.693,-0.251,0.009,-0.162,-0.421,0.101,-0.104,-0.378,0.466,-0.325,-0.849,0.563,0.584,0.358,0.605,0.462,0.532,0.526,0.218,-0.144
C_1_DISCH,0.415,0.168,0.035,-0.02,0.333,0.309,0.601,0.345,0.618,0.113,0.12,-0.016,-0.185,0.229,-0.216,-0.131,0.063,0.464,0.401,0.279,0.095,0.462,0.435,0.159,-0.059,1.0,-0.074,0.367,0.256,0.346,0.345,0.343,0.348,0.273,0.05,0.017,-0.015,-0.002,0.273,0.297,-0.382,0.161,-0.09,-0.097,0.461,-0.539,0.367,-0.005,0.258,0.4,0.465,0.062,0.454,0.367,0.181,0.017,0.111
Re_Gas_MOLAR_RATIO,-0.369,0.069,-0.017,0.235,-0.279,-0.137,-0.547,-0.214,-0.432,0.06,0.122,0.231,0.119,-0.335,0.217,0.138,0.462,0.145,0.323,0.279,0.375,0.023,0.229,0.116,0.595,-0.074,1.0,0.677,0.515,0.327,0.326,0.324,0.332,-0.247,-0.645,-0.623,-0.633,-0.643,-0.247,-0.106,-0.072,-0.413,0.112,-0.048,-0.455,0.692,-0.319,-0.654,0.251,0.298,0.13,0.454,0.25,0.323,0.467,0.338,-0.001
Re_Gas_Flow,-0.244,0.037,-0.17,-0.094,-0.138,0.029,-0.183,0.073,-0.194,-0.107,0.192,0.113,-0.114,-0.221,0.111,0.15,0.089,0.083,0.073,-0.009,0.027,0.031,0.03,-0.104,-0.077,0.367,0.677,1.0,0.025,0.05,0.048,0.043,0.049,0.016,-0.211,-0.212,-0.227,-0.226,0.016,-0.009,-0.125,-0.094,0.018,-0.014,-0.064,0.233,0.026,-0.135,-0.028,0.067,0.076,0.089,0.116,0.124,0.235,0.255,0.159
C_1_SUCTION,0.118,0.054,0.208,0.371,-0.02,-0.096,-0.108,-0.236,0.114,0.285,-0.078,0.091,0.2,0.019,-0.053,-0.161,0.508,0.362,0.598,0.578,0.493,0.252,0.548,0.392,0.865,0.256,0.515,0.025,1.0,0.582,0.582,0.586,0.596,-0.187,-0.619,-0.614,-0.626,-0.628,-0.187,0.105,-0.23,-0.375,0.078,-0.031,-0.243,0.271,-0.217,-0.662,0.535,0.57,0.35,0.496,0.509,0.494,0.427,0.094,-0.126
R1_New_Wait,0.24,0.462,0.291,0.566,0.251,0.307,0.161,0.175,0.36,0.447,0.31,0.382,0.114,0.041,0.098,0.068,0.753,0.74,0.94,0.834,0.737,0.653,0.903,0.61,0.621,0.346,0.327,0.05,0.582,1.0,0.981,0.965,0.945,-0.061,-0.49,-0.487,-0.531,-0.576,-0.061,0.097,-0.265,-0.212,-0.027,-0.43,0.139,-0.0,-0.002,-0.647,0.837,0.922,0.723,0.747,0.786,0.826,0.681,0.314,-0.051
R2_New_Wait,0.245,0.455,0.297,0.566,0.248,0.307,0.157,0.165,0.36,0.446,0.309,0.394,0.118,0.045,0.109,0.068,0.755,0.738,0.947,0.85,0.741,0.653,0.914,0.631,0.623,0.345,0.326,0.048,0.582,0.981,1.0,0.978,0.954,-0.061,-0.49,-0.488,-0.533,-0.578,-0.061,0.097,-0.266,-0.228,-0.019,-0.425,0.128,0.009,-0.0,-0.65,0.853,0.928,0.724,0.738,0.799,0.832,0.688,0.314,-0.05
R3_New_Wait,0.24,0.441,0.293,0.559,0.246,0.298,0.155,0.153,0.36,0.447,0.305,0.406,0.125,0.052,0.125,0.071,0.745,0.73,0.954,0.871,0.732,0.648,0.925,0.664,0.626,0.343,0.324,0.043,0.586,0.965,0.978,1.0,0.968,-0.059,-0.491,-0.488,-0.532,-0.578,-0.059,0.096,-0.263,-0.249,-0.009,-0.415,0.109,0.021,0.004,-0.652,0.873,0.94,0.709,0.726,0.816,0.843,0.686,0.304,-0.048
R4_New_Wait,0.227,0.422,0.286,0.552,0.232,0.285,0.141,0.137,0.366,0.456,0.296,0.407,0.141,0.069,0.152,0.079,0.726,0.711,0.951,0.908,0.719,0.632,0.926,0.71,0.633,0.348,0.332,0.049,0.596,0.945,0.954,0.968,1.0,-0.054,-0.488,-0.486,-0.53,-0.578,-0.054,0.094,-0.265,-0.294,0.004,-0.405,0.07,0.049,0.008,-0.661,0.922,0.919,0.691,0.709,0.843,0.847,0.67,0.295,-0.044
max_2nd.Burning.Zone,0.219,-0.106,-0.058,-0.202,-0.005,-0.011,0.222,0.03,0.134,-0.229,-0.1,-0.129,-0.495,-0.18,-0.298,-0.267,-0.063,-0.021,-0.026,-0.117,-0.081,-0.033,-0.022,-0.127,-0.251,0.273,-0.247,0.016,-0.187,-0.061,-0.061,-0.059,-0.054,1.0,0.619,0.614,0.61,0.631,1.0,-0.114,-0.052,0.374,-0.079,0.072,0.282,-0.36,0.714,0.18,-0.101,-0.024,-0.026,-0.065,0.124,0.103,-0.075,-0.04,0.012
max_2nd.1dan,0.203,-0.306,-0.106,-0.405,0.016,-0.086,0.283,0.001,0.086,-0.353,-0.286,-0.36,-0.448,-0.102,-0.371,-0.322,-0.439,-0.358,-0.469,-0.471,-0.387,-0.261,-0.4,-0.325,-0.685,0.05,-0.645,-0.211,-0.619,-0.49,-0.49,-0.491,-0.488,0.619,1.0,0.975,0.966,0.944,0.619,-0.034,0.132,0.525,-0.165,0.166,0.318,-0.515,0.488,0.672,-0.431,-0.45,-0.343,-0.43,-0.259,-0.337,-0.496,-0.257,0.045
max_2nd.2dan,0.19,-0.313,-0.093,-0.4,0.002,-0.111,0.25,-0.026,0.063,-0.346,-0.293,-0.358,-0.439,-0.115,-0.362,-0.319,-0.425,-0.374,-0.468,-0.466,-0.375,-0.281,-0.403,-0.315,-0.67,0.017,-0.623,-0.212,-0.614,-0.487,-0.488,-0.488,-0.486,0.614,0.975,1.0,0.988,0.958,0.614,-0.046,0.157,0.505,-0.162,0.132,0.29,-0.479,0.467,0.659,-0.423,-0.45,-0.36,-0.416,-0.262,-0.34,-0.496,-0.258,0.012
max_2nd.3dan,0.197,-0.355,-0.081,-0.433,-0.021,-0.166,0.227,-0.074,0.054,-0.352,-0.324,-0.386,-0.44,-0.11,-0.373,-0.331,-0.459,-0.437,-0.51,-0.5,-0.411,-0.347,-0.448,-0.33,-0.682,-0.015,-0.633,-0.227,-0.626,-0.531,-0.533,-0.532,-0.53,0.61,0.966,0.988,1.0,0.982,0.61,-0.06,0.173,0.503,-0.163,0.17,0.265,-0.466,0.462,0.681,-0.452,-0.49,-0.422,-0.45,-0.301,-0.387,-0.544,-0.299,-0.02
max_2nd.4dan,0.223,-0.365,-0.07,-0.463,-0.007,-0.183,0.247,-0.078,0.063,-0.353,-0.345,-0.417,-0.45,-0.101,-0.397,-0.347,-0.492,-0.47,-0.555,-0.55,-0.442,-0.38,-0.491,-0.368,-0.693,-0.002,-0.643,-0.226,-0.628,-0.576,-0.578,-0.578,-0.578,0.631,0.944,0.958,0.982,1.0,0.631,-0.059,0.163,0.514,-0.164,0.185,0.261,-0.484,0.468,0.696,-0.5,-0.533,-0.453,-0.482,-0.342,-0.435,-0.594,-0.34,-0.028
max_2nd.5dan,0.219,-0.106,-0.058,-0.202,-0.005,-0.011,0.222,0.03,0.134,-0.229,-0.1,-0.129,-0.495,-0.18,-0.298,-0.267,-0.063,-0.021,-0.026,-0.117,-0.081,-0.033,-0.022,-0.127,-0.251,0.273,-0.247,0.016,-0.187,-0.061,-0.061,-0.059,-0.054,1.0,0.619,0.614,0.61,0.631,1.0,-0.114,-0.052,0.374,-0.079,0.072,0.282,-0.36,0.714,0.18,-0.101,-0.024,-0.026,-0.065,0.124,0.103,-0.075,-0.04,0.012
Catalyst Circulation Rate,0.155,0.068,0.016,-0.007,0.157,0.123,0.25,0.143,0.263,0.087,0.028,-0.021,0.033,0.163,-0.039,-0.023,-0.032,0.153,0.11,0.091,-0.006,0.175,0.138,0.082,0.009,0.297,-0.106,-0.009,0.105,0.097,0.097,0.096,0.094,-0.114,-0.034,-0.046,-0.06,-0.059,-0.114,1.0,-0.131,-0.008,-0.086,-0.047,0.083,-0.202,-0.031,-0.002,0.089,0.115,0.161,-0.026,0.099,0.065,0.005,-0.042,0.027
Catalyst Circulation LIFT VELOCITY E,-0.115,-0.163,0.001,-0.076,-0.123,-0.174,-0.204,-0.188,-0.237,-0.09,-0.157,-0.097,0.035,-0.098,0.003,-0.042,-0.135,-0.314,-0.287,-0.208,-0.135,-0.294,-0.286,-0.098,-0.162,-0.382,-0.072,-0.125,-0.23,-0.265,-0.266,-0.263,-0.265,-0.052,0.132,0.157,0.173,0.163,-0.052,-0.131,1.0,-0.001,0.024,0.093,-0.154,0.136,-0.057,0.227,-0.194,-0.284,-0.309,-0.136,-0.249,-0.278,-0.228,-0.112,-0.056
Catalyst_V3_front_coke Content,0.214,0.012,-0.08,-0.26,0.122,0.062,0.354,0.203,0.056,-0.334,-0.168,-0.377,-0.501,-0.235,-0.473,-0.306,-0.145,-0.017,-0.23,-0.454,-0.152,0.006,-0.236,-0.498,-0.421,0.161,-0.413,-0.094,-0.375,-0.212,-0.228,-0.249,-0.294,0.374,0.525,0.505,0.503,0.514,0.374,-0.008,-0.001,1.0,0.012,0.16,0.59,-0.488,0.421,0.378,-0.379,-0.203,-0.013,-0.133,-0.23,-0.076,-0.215,-0.078,0.009
Catalyst_V3_back_coke Content,0.018,0.032,0.097,0.051,0.043,0.019,-0.028,-0.01,-0.162,-0.076,-0.051,-0.019,-0.006,-0.075,0.035,0.018,0.069,0.065,-0.02,0.009,0.054,0.042,-0.025,-0.041,0.101,-0.09,0.112,0.018,0.078,-0.027,-0.019,-0.009,0.004,-0.079,-0.165,-0.162,-0.163,-0.164,-0.079,-0.086,0.024,0.012,1.0,0.104,0.051,0.172,-0.003,-0.09,-0.03,-0.029,0.06,0.057,-0.006,0.05,0.046,-0.05,-0.034
